IBLI_UNIT_ID ,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
45.0000,1.00000,2.00000,3.00000,4.00000,5.00000,4.00000,4.00000,5.00000,5.00000,2.00000,2.00000,5.00000,5.00000,3.00000,3.00000,3.00000,1.00000,4.00000,5.00000,2.00000,1.00000,5.00000,5.00000,4.00000,5.00000,4.00000,3.00000
46.0000,1.00000,2.00000,4.00000,4.00000,3.00000,2.00000,3.00000,5.00000,4.00000,1.00000,3.00000,5.00000,5.00000,4.00000,4.00000,3.00000,1.00000,4.00000,5.00000,2.00000,2.00000,5.00000,5.00000,5.00000,5.00000,5.00000,4.00000
47.0000,1.00000,3.00000,5.00000,3.00000,4.00000,2.00000,4.00000,5.00000,4.00000,2.00000,2.00000,5.00000,5.00000,3.00000,4.00000,4.00000,1.00000,3.00000,5.00000,2.00000,1.00000,5.00000,5.00000,4.00000,5.00000,5.00000,3.00000
48.0000,3.00000,2.00000,4.00000,3.00000,5.00000,4.00000,2.00000,5.00000,3.00000,1.00000,4.00000,5.00000,5.00000,4.00000,5.00000,2.00000,2.00000,4.00000,5.00000,1.00000,1.00000,5.00000,5.00000,4.00000,5.00000,3.00000,3.00000
49.0000,2.00000,3.00000,4.00000,4.00000,5.00000,3.00000,2.00000,5.00000,2.00000,1.00000,4.00000,5.00000,5.00000,4.00000,4.00000,3.00000,1.00000,3.00000,5.00000,2.00000,1.00000,5.00000,5.00000,5.00000,5.00000,4.00000,3.00000
50.0000,2.00000,2.00000,5.00000,4.00000,5.00000,4.00000,3.00000,5.00000,4.00000,1.00000,2.00000,5.00000,5.00000,3.00000,4.00000,3.00000,1.00000,4.00000,5.00000,2.00000,1.00000,5.00000,5.00000,3.00000,5.00000,4.00000,2.00000
51.0000,1.00000,2.00000,4.00000,4.00000,4.00000,3.00000,3.00000,5.00000,5.00000,1.00000,2.00000,5.00000,5.00000,3.00000,3.00000,4.00000,1.00000,5.00000,5.00000,2.00000,2.00000,5.00000,5.00000,4.00000,5.00000,4.00000,4.00000
52.0000,1.00000,2.00000,3.00000,4.00000,5.00000,3.00000,4.00000,5.00000,4.00000,1.00000,3.00000,5.00000,5.00000,4.00000,2.00000,4.00000,1.00000,5.00000,5.00000,2.00000,2.00000,5.00000,5.00000,3.00000,5.00000,4.00000,3.00000
53.0000,1.00000,2.00000,5.00000,3.00000,5.00000,3.00000,2.00000,5.00000,3.00000,1.00000,3.00000,5.00000,5.00000,4.00000,4.00000,4.00000,2.00000,4.00000,5.00000,2.00000,1.00000,5.00000,5.00000,4.00000,5.00000,4.00000,4.00000
60.0000,3.00000,2.00000,4.00000,5.00000,5.00000,4.00000,2.00000,5.00000,2.00000,1.00000,5.00000,5.00000,5.00000,4.00000,4.00000,4.00000,2.00000,3.00000,5.00000,1.00000,1.00000,5.00000,3.00000,4.00000,5.00000,3.00000,5.00000
